name,price,comnum,link
 Python编程 从入门到实践,65.0,131615,http://product.dangdang.com/24003310.html
 Python编程快速上手 让繁琐工作自动化（Python3编程从入门到实践 新手学习必备用书）,34.5,28400,http://product.dangdang.com/23997502.html
 对比Excel，轻松学习Python数据分析,43.6,13218,http://product.dangdang.com/26512595.html
 DK编程真好玩：9岁开始学Python,116.8,3699,http://product.dangdang.com/27940162.html
 Python Qt GUI与数据可视化编程,78.2,1385,http://product.dangdang.com/27918134.html
 利用Python进行数据分析（原书第2版）,88.0,16190,http://product.dangdang.com/25312917.html
 Python基础教程（第3版）,66.4,19035,http://product.dangdang.com/25218035.html
 Python从小白到大牛,67.3,4696,http://product.dangdang.com/25574315.html
 零基础入门学习Python（第2版）-微课视频版,60.6,3185,http://product.dangdang.com/27865271.html
 Python核心编程 第3版,49.5,23064,http://product.dangdang.com/23961748.html
 Python学习手册（原书第5版）,162.0,4423,http://product.dangdang.com/25576578.html
 Python编程从数据分析到机器学习实践（微课视频版）,49.9,24,http://product.dangdang.com/28517948.html
 Python编程从零基础到项目实战（微课视频版）,39.9,5715,http://product.dangdang.com/25479735.html
 Python 3网络爬虫开发实战,66.4,12503,http://product.dangdang.com/25249602.html
 Python神经网络编程,34.5,9818,http://product.dangdang.com/25251315.html
 疯狂Python讲义,59.0,6673,http://product.dangdang.com/25580336.html
 Python爬虫技术——深入理解原理、技术与开发,67.3,47,http://product.dangdang.com/28510027.html
 基于Python的大数据分析基础及实战,52.7,5703,http://product.dangdang.com/25307829.html
 Python网络爬虫权威指南 第2版,62.4,2159,http://product.dangdang.com/27857494.html
 基于Python的金融分析与风险管理,59.0,2928,http://product.dangdang.com/27943466.html
 笨办法学Python 3,29.5,11813,http://product.dangdang.com/25286312.html
 Python Cookbook（第3版）中文版,54.0,9511,http://product.dangdang.com/23690527.html
 Python语言程序设计基础（第2版）,39.0,2362,http://product.dangdang.com/24189864.html
 Python机器学习手册：从数据预处理到深度学习,52.5,1186,http://product.dangdang.com/27902091.html
 Python编程无师自通 专业程序员的养成,46.6,1614,http://product.dangdang.com/26440157.html
 Python项目开发案例集锦（全彩版）,64.0,150,http://product.dangdang.com/28486019.html
