,name,price,shop
0,"['\t\n罗技（Logitech）K120 ', ' 有线', ' 办公', ' 全尺寸 黑色 自营 U口']",['49.00'],['罗技京东自营旗舰店']
1,"['戴尔（DELL）KB216 有线商务办公', '（黑色）']",['38.90'],['戴尔京东自营官方旗舰店']
2,[],[],[]
3,['\t\n罗技（Logitech）MK275 键鼠套装 无线键鼠套装 办公键鼠套装 全尺寸 黑蓝色 带无线2.4G接收器'],['109.00'],['罗技京东自营旗舰店']
4,"['\t\n现代翼蛇（HYesir）HY-KA7', ' 有线', ' usb接口 防水泼 办公', ' 不掉色 经典爆款 黑']",['17.80'],['现代翼蛇京东自营旗舰店']
5,"['前行者游戏背光发光牧马人真机械手感', '鼠标套装吃鸡键鼠台式有线薄膜网吧外设电脑笔记本办公套外接', ' 牧马人黑色彩虹背光', '+七彩黑鼠标']",['69.00'],['敏涛数码专营店']
6,"['外星人 Alienware AW510K游戏机械', '全键无冲单键RGB cherry红轴（白色）']",['1689.00'],['外星人京东自营旗舰店']
7,"['\t\n英菲克（INPHIC）V680h真机械手感', '鼠标套装有线办公电脑笔记本USB外接网吧吃鸡背光游戏', '金属面板 灰']",['69.00'],['英菲克（INPHIC）京东自营旗舰店']
8,[],[],[]
9,"['联想（lenovo）无线', '鼠标套装 无线键鼠套装 办公鼠标', '套装 KN101电脑', '笔记本']",['69.90'],['联想京东自营旗舰店']
10,"['\t\n双飞燕（A4TECH) WK-100 ', ' 有线', ' 办公', '  防水 104键 黑色']",['49.90'],['双飞燕京东自营官方旗舰店']
11,"['\t\n灵蛇（LINGSHE）有线单', 'USB笔记本台式电脑一体机通用办公单', 'K200黑色']",['19.90'],['灵蛇京东自营旗舰店']
12,"['前行者游戏背光发光牧马人真机械手感', '鼠标套装吃鸡键鼠台式有线薄膜网吧外设电脑笔记本办公套外接', ' 牧马人黑色彩虹背光', '+七彩黑鼠标']",['69.00'],['敏涛数码专营店']
13,"['惠普（HP）真机械手感', '鼠标套装游戏有线背光电竞吃鸡笔记本台式电脑外设办公牧马人键鼠朋克网吧三件套 K500黑色彩光【经典版】']",['58.00'],['志仕数码专营店']
14,"['\t\n吉选（GESOBYTE）KB830USB', ' 有线', ' 办公', ' 静音 104键 防泼水 USB通用 笔记本电脑', ' 黑色']",['19.90'],['吉选京东自营旗舰店']
15,"['联想（lenovo）有线', '鼠标套装 ', ' 键鼠套装  办公鼠标', '套装 KM4800', ' 电脑', '笔记本']",['59.00'],['联想京东自营旗舰店']
16,['\t\n罗技（Logitech）MK345 无线键鼠套装 防泼溅 时尚高效'],['169.00'],['罗技京东自营旗舰店']
17,"['\t\n罗技（Logitech）K310 ', ' 有线', ' 办公', ' 女性 防水', ' 全尺寸 黑色']",['149.00'],['罗技京东自营旗舰店']
18,"['达尔优（dareu）机械师合金版机械', ' 有线', ' 游戏', ' 108键单光 全键无冲  吃鸡', ' 黑金青轴']",['139.00'],['达尔优京东自营旗舰店']
19,"['\t\n雷蛇(Razer)萨诺狼蛛专业版 ', ' 有线', ' 办公', ' 薄膜', ' 游戏', ' 104键 混光 电竞 黑色']",['209.00'],['雷蛇（Razer）京东自营官方旗舰店']
20,"['\t\n灵蛇（LINGSHE）有线键鼠套装 防水游戏键鼠套装 背光吃鸡鼠标', '游戏套装MK235黑色']",['39.90'],['灵蛇京东自营旗舰店']
21,"['\t\n狼蛛（AULA）F2088机械', ' 有线', ' 游戏', ' 104键混光朋克 宏编程 电脑', '  黑色 青轴']",['159.00'],['狼蛛外设京东自营官方旗舰店']
22,"['\t\n罗技（Logitech）K480 ', ' 无线蓝牙', ' 办公', ' 女性 便携 超薄', ' 笔记本', ' 白色 自营']",['149.00'],['罗技京东自营旗舰店']
23,['\t\n灵蛇（LINGSHE）有线发光游戏键鼠套装 金属面板 防水发光游戏键鼠套装 MK210银灰'],['59.00'],['灵蛇京东自营旗舰店']
24,"['吉选（GESOBYTE）KB830USB', ' 有线', ' 办公', ' 静音 104键 防泼水 USB通用 笔记本电脑', ' 黑色']",['19.90'],['吉选京东自营旗舰店']
